Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/17/2020,"1,891","7,595",3.82,0,"1,210",176,17,37,779
7/16/2020,"2,094","10,772",5.57,0,705,190,22,55,990
7/15/2020,"1,989","11,105",6.04,0,"1,208",146,13,73,876
7/14/2020,"1,850","7,068",3.61,0,"1,194",207,3,36,764
7/13/2020,"1,349","2,237",1.35,0,"1,410",10,11,9,127
7/12/2020,"1,928","8,096",4.07,0,"1,150",251,4,35,888
7/11/2020,"1,974","10,078",4.92,0,"1,139",260,7,34,963
7/10/2020,"1,748","6,107",3.27,0,"1,193",147,1,37,613
7/9/2020,"1,628","2,183",0.95,0,"1,275",165,0,0,459
7/8/2020,"1,533","2,334",1.04,0,"1,312",128,0,0,336
7/7/2020,"1,946","10,024",5.19,0,"1,247",132,9,52,791
7/6/2020,"1,885","10,853",5.75,0,"1,252",111,11,66,730
7/5/2020,"1,724","3,746",1.64,0,"1,239",201,0,0,621
7/4/2020,"1,520","2,000",0.87,0,"1,319",121,0,0,342
7/3/2020,"1,863","8,071",3.48,0,"1,208",164,67,1,771
7/2/2020,"1,739","4,567",2,0,"1,244",186,9,1,596
7/1/2020,"1,468","1,578",0.64,0,"1,343",97,0,0,252
6/30/2020,"1,595","5,212",2.82,0,"1,322",78,3,37,427
6/29/2020,"1,526","2,179",0.97,0,"1,314",126,0,0,340
6/28/2020,"1,443","1,789",0.78,0,"1,226",85,0,0,246
6/27/2020,"1,568","2,415",1.06,0,"1,166",132,9,2,428
6/26/2020,"1,381","1,054",0.46,0,585,73,0,0,185
6/25/2020,"1,764","7,180",3.78,0,"1,283",119,1,37,585
6/24/2020,"1,894","12,164",6.43,0,"1,246",119,10,65,762
6/23/2020,"1,976","11,921",6.48,0,"1,188",180,24,48,908
6/22/2020,"1,788","7,390",3.86,0,"1,263",140,3,34,636
6/21/2020,"1,343",769,0.34,0,"1,392",48,0,0,120
6/20/2020,"1,743","5,509",2.39,0,"1,193",241,6,0,678
6/19/2020,"1,842","5,462",2.46,0,"1,186",246,8,0,757
6/18/2020,"1,737","6,763",3.36,0,"1,257",154,6,23,613
6/17/2020,"1,821","7,282",3.73,0,"1,225",173,7,35,695
6/16/2020,"2,006","11,172",6.01,0,"1,221",145,6,68,871
6/15/2020,"1,779","8,044",3.99,0,"1,236",163,6,35,687
6/14/2020,"1,798","1,394",0.61,0,"1,290",84,29,37,664
6/13/2020,"1,673","3,663",1.6,0,"1,222",218,0,0,558
6/12/2020,"1,977","5,202",2.27,0,"1,140",287,8,5,940
6/11/2020,"1,868","7,323",3.93,0,"1,198",202,12,28,760
6/10/2020,"1,922","8,297",4.21,0,"1,216",177,12,35,810
6/9/2020,"1,692","6,230",3.3,0,"1,291",106,5,38,514
6/8/2020,"1,731","5,799",3.12,0,"1,272",128,5,35,566
6/7/2020,"1,351",795,0.34,0,"1,411",29,0,0,100
6/6/2020,"1,610","3,966",1.73,0,"1,302",107,29,2,460
6/5/2020,"1,757","4,062",1.78,0,"1,203",237,0,0,641
6/4/2020,"1,875","8,186",4.11,0,"1,232",179,8,21,726
6/3/2020,"1,938","10,189",5.39,0,"1,230",159,8,43,805
6/2/2020,"1,628","2,605",1.14,0,"1,289",136,15,0,424
6/1/2020,"2,020","11,239",6.26,0,"1,204",151,7,78,914
5/31/2020,"1,977","11,288",4.99,0,550,175,42,42,922
5/30/2020,"2,661","11,173",5.52,0,"1,002",256,110,72,"1,750"
5/29/2020,"1,596","2,440",1.05,0,"1,297",134,9,0,406
5/28/2020,"1,685","2,602",1.15,0,"1,263",167,10,0,519
5/27/2020,"2,064","11,421",6.28,0,"1,197",147,23,73,955
5/26/2020,"1,989","8,723",4.29,0,"1,211",151,37,41,865
5/25/2020,"1,542",107,0.05,0,"1,376",38,0,26,334
5/24/2020,"1,865","5,826",2.53,0,"1,148",292,0,0,810
5/23/2020,"2,086","8,893",3.88,0,"1,095",314,30,1,"1,066"
5/22/2020,"1,848","5,305",2.28,0,"1,203",227,7,3,732
5/21/2020,"1,909","8,160",4.08,0,"1,193",206,8,33,791
5/20/2020,"1,907","7,498",3.74,0,"1,223",173,10,34,741
5/19/2020,"2,171","13,599",7.07,0,"1,135",203,40,62,"1,129"
5/18/2020,"1,684","6,082",3.08,0,"1,303",95,5,37,492
5/17/2020,"1,404","1,507",0.66,0,"1,373",67,0,0,186
5/16/2020,"1,865","5,079",2.22,0,"1,163",277,0,0,799
5/15/2020,"1,545","2,037",0.89,0,"1,332",108,0,0,315
5/14/2020,"1,977","10,155",5.2,0,"1,247",132,7,54,818
5/13/2020,"1,735","3,364",1.49,0,"1,255",169,12,4,555
5/12/2020,"2,028","8,865",4.44,0,"1,195",180,26,39,913
5/11/2020,"1,614","1,300",0.57,0,"1,305",135,0,0,384
5/10/2020,"1,475","1,078",0.47,0,"1,347",93,0,0,242
5/9/2020,"1,671","2,384",1.02,0,"1,262",168,10,0,519
5/8/2020,"1,440","1,557",0.68,0,"1,344",96,0,0,237
5/7/2020,"2,029","11,726",6.09,0,"1,193",172,7,68,930
5/6/2020,"1,972","10,147",5.17,0,"1,208",191,6,35,859
5/5/2020,"2,189","12,727",6.64,0,"1,186",151,22,81,"1,072"
5/4/2020,"1,711","6,200",3.3,0,"1,293",95,16,36,532
5/3/2020,"1,612","3,461",1.51,0,"1,298",142,0,0,447
5/2/2020,"2,004","7,773",3.36,0,"1,114",326,0,0,964
5/1/2020,"1,263",0,0,0,"1,440",0,0,0,0
4/30/2020,"1,791","6,742",3.41,0,"1,253",149,2,36,618
4/29/2020,"1,610","2,865",1.28,0,"1,290",134,13,3,438
4/28/2020,"1,529","2,520",1.13,0,"1,320",120,0,0,334
4/27/2020,"1,678","4,491",2.01,0,"1,278",151,11,0,503
4/26/2020,"1,867","6,084",2.66,0,648,235,16,4,792
4/25/2020,"2,362","14,250",6.61,0,"1,075",258,61,46,"1,367"
4/24/2020,"1,804","4,602",2.03,0,"1,213",217,8,2,664
